,Date,Hour,Number_of_Incidents
720,10/1/2017,3,4
721,10/1/2017,4,3
722,10/1/2017,6,1
723,10/1/2017,8,4
724,10/1/2017,9,2
725,10/1/2017,10,6
726,10/1/2017,11,1
727,10/1/2017,12,3
728,10/1/2017,13,10
729,10/1/2017,14,5
730,10/1/2017,15,4
731,10/1/2017,16,6
732,10/1/2017,17,4
733,10/1/2017,18,2
734,10/1/2017,19,2
735,10/1/2017,20,2
736,10/1/2017,21,5
737,10/1/2017,22,5
738,10/1/2017,23,1
739,10/10/2017,0,2
740,10/10/2017,3,1
741,10/10/2017,6,1
742,10/10/2017,7,2
743,10/10/2017,9,4
744,10/10/2017,10,4
745,10/10/2017,11,2
746,10/10/2017,12,1
747,10/10/2017,14,1
748,10/10/2017,16,4
749,10/10/2017,17,1
750,10/10/2017,18,2
751,10/10/2017,19,2
752,10/10/2017,21,1
753,10/10/2017,22,3
754,10/11/2017,5,1
755,10/11/2017,7,6
756,10/11/2017,8,3
757,10/12/2017,11,3
758,10/12/2017,12,1
759,10/12/2017,13,3
760,10/12/2017,14,6
761,10/12/2017,15,11
762,10/12/2017,16,18
763,10/12/2017,17,14
764,10/12/2017,18,17
765,10/12/2017,19,11
766,10/12/2017,20,13
767,10/12/2017,21,6
768,10/12/2017,22,11
769,10/12/2017,23,4
770,10/13/2017,0,3
771,10/13/2017,1,1
772,10/13/2017,2,4
773,10/13/2017,3,1
774,10/13/2017,4,4
775,10/13/2017,5,2
776,10/13/2017,6,8
777,10/13/2017,7,20
778,10/13/2017,8,12
779,10/13/2017,9,15
780,10/13/2017,10,8
781,10/13/2017,11,7
782,10/13/2017,12,15
783,10/13/2017,13,14
784,10/13/2017,14,12
785,10/13/2017,15,22
786,10/13/2017,16,22
787,10/13/2017,17,16
788,10/13/2017,18,14
789,10/13/2017,19,10
790,10/13/2017,20,14
791,10/13/2017,21,9
792,10/13/2017,22,8
793,10/13/2017,23,5
794,10/14/2017,0,5
795,10/14/2017,2,9
796,10/14/2017,3,1
797,10/14/2017,4,2
798,10/14/2017,5,1
799,10/14/2017,6,3
800,10/14/2017,7,4
801,10/14/2017,8,6
802,10/14/2017,9,8
803,10/14/2017,10,16
804,10/14/2017,11,6
805,10/14/2017,12,14
806,10/14/2017,13,9
807,10/14/2017,14,7
808,10/14/2017,15,14
809,10/14/2017,16,11
810,10/14/2017,17,12
811,10/14/2017,18,5
812,10/14/2017,19,2
813,10/14/2017,20,11
814,10/14/2017,21,8
815,10/14/2017,22,8
816,10/14/2017,23,8
817,10/15/2017,0,6
818,10/15/2017,1,6
819,10/15/2017,2,9
820,10/15/2017,3,1
821,10/15/2017,4,1
822,10/15/2017,5,1
823,10/15/2017,6,1
824,10/15/2017,7,3
825,10/15/2017,8,4
826,10/15/2017,9,7
827,10/15/2017,10,8
828,10/15/2017,11,5
829,10/15/2017,12,7
830,10/15/2017,13,9
831,10/15/2017,14,8
832,10/15/2017,15,9
833,10/15/2017,16,14
834,10/15/2017,17,11
835,10/15/2017,18,8
836,10/15/2017,19,7
837,10/15/2017,20,7
838,10/15/2017,21,2
839,10/15/2017,22,3
840,10/15/2017,23,6
841,10/16/2017,0,1
842,10/16/2017,1,3
843,10/16/2017,2,1
844,10/16/2017,3,1
845,10/16/2017,4,3
846,10/16/2017,5,4
847,10/16/2017,6,13
848,10/16/2017,7,18
849,10/16/2017,8,17
850,10/16/2017,9,12
851,10/16/2017,10,10
852,10/16/2017,11,12
853,10/16/2017,12,8
854,10/16/2017,13,8
855,10/16/2017,14,11
856,10/16/2017,15,9
857,10/16/2017,16,10
858,10/16/2017,17,16
859,10/16/2017,18,12
860,10/16/2017,19,14
861,10/16/2017,20,5
862,10/16/2017,21,2
863,10/16/2017,22,2
864,10/16/2017,23,4
865,10/17/2017,0,1
866,10/17/2017,1,2
867,10/17/2017,2,2
868,10/17/2017,3,1
869,10/17/2017,5,5
870,10/17/2017,6,6
871,10/17/2017,7,11
872,10/17/2017,8,20
873,10/17/2017,9,16
874,10/17/2017,10,9
875,10/17/2017,11,10
