,curdatetime,day,day_of_week,detid,detname,direction,hour,int_id,intname,minute,month,occupancy,row_id,speed,timebin,volume,year
830,2017-12-09T01:45:00.000,9,6,80,EB_in,EB,1,20,CESAR CHAVEZIH 35 WSR,45,12,6,0043d9bfe947fc696b04e2c4edda398d,17,01:45,46,2017
831,2017-10-09T23:45:00.000,9,1,70,SB_Lturn,SB,23,11,BurnetRutland,45,10,1,0043f505f30e2437f9756ecbc702531d,5,23:45,6,2017
832,2017-10-16T02:30:00.000,16,1,65,Lane3,None,2,18,TOOMEYTEST,30,10,0,0044079fd87e34aa2dcb0c48dd78b874,149,02:30,0,2017
833,2017-10-19T19:00:00.000,19,4,13,NB_out,NB,19,3,LAMARSHOALCREEK,0,10,7,004431523e0701eaea42570dfe17240f,26,19:00,135,2017
834,2017-10-16T22:45:00.000,16,1,63,Lane1,None,22,18,TOOMEYTEST,45,10,0,00443cc88a82ba92d9fba113b61cdbaf,149,22:45,0,2017
835,2017-08-10T04:45:00.000,10,4,12,NB_in,NB,4,3,LAMARSHOALCREEK,45,8,0,0044467a7c4e80a39451a05c98924d71,30,04:45,6,2017
836,2017-12-16T04:15:00.000,16,6,54,NB_in,NB,4,17,CongressJohanna,15,12,0,0044d2c73e5dc8fcb609632a99a69684,27,04:15,11,2017
837,2017-09-15T07:15:00.000,15,5,4,SB_out,SB,7,1,LAMARMANCHACA,15,9,3,0044f0296156475f4e0e686209430fb0,32,07:15,47,2017
838,2017-12-06T20:00:00.000,6,3,45,EB_in,EB,20,15,Cesar ChavezBR Reynolds,0,12,6,00450285dfd0b37532894fad692350de,38,20:00,131,2017
839,2017-11-29T17:00:00.000,29,3,96,SB_out,SB,17,24,LOOP 360LAKEWOOD,0,11,11,00450fda1d7f8309b5a77aa65160a4ab,38,17:00,232,2017
840,2017-11-27T19:30:00.000,27,1,96,SB_out,SB,19,24,LOOP 360LAKEWOOD,30,11,6,004521fec06ee9b67a94ce8de1e995ec,48,19:30,156,2017
841,2017-09-05T22:15:00.000,5,2,82,EB_out,EB,22,20,CESAR CHAVEZIH 35 WSR,15,9,1,004531f6cf87d1f36b58aebc86da77eb,15,22:15,8,2017
842,2017-10-05T23:30:01.000,5,4,56,SB_out,SB,23,8,LOOP 360WALSH TARLTON,30,10,2,004542aec0240414668846866b356427,47,23:30,51,2017
843,2017-11-04T17:45:00.000,4,6,57,SB_mid,SB,17,8,LOOP 360WALSH TARLTON,45,11,5,00455072a8afe4fa0f30ba84c40d50e5,53,17:45,134,2017
844,2017-11-19T20:15:00.000,19,0,80,EB_in,EB,20,20,CESAR CHAVEZIH 35 WSR,15,11,6,00457c884a0762215898630d29254ba7,17,20:15,50,2017
845,2017-08-11T04:00:00.000,11,5,19,NB_in,NB,4,5,LAMARSANDRA MURAIDA,0,8,0,00458187ec23492c4ae6e1140a1f0371,44,04:00,4,2017
846,2017-09-20T23:00:01.000,20,3,45,EB_in,EB,23,15,Cesar ChavezBR Reynolds,0,9,0,004588834435365162124d86551bdaa2,44,23:00,17,2017
847,2017-10-12T15:00:00.000,12,4,92,NB_out,NB,15,24,LOOP 360LAKEWOOD,0,10,10,00459cd75701acaca97aee451539f2ae,45,15:00,217,2017
848,2017-12-07T10:45:00.000,7,4,91,NB_in,NB,10,23,BURNETPALM WAY,45,12,2,0045c6bdf6d178a6b04b307a431dd802,43,10:45,60,2017
849,2017-09-23T17:30:00.000,23,6,83,SB_out,SB,17,22,LAMARCOLLIER,30,9,4,0045d026f841623931540fece2ac61f3,35,17:30,88,2017
850,2017-10-09T10:30:00.000,9,1,20,SB_in,SB,10,5,LAMARSANDRA MURAIDA,30,10,6,0045eba12d124c02646bff769bd0e546,37,10:30,126,2017
851,2017-11-30T11:45:00.000,30,4,18,NB_out,NB,11,5,LAMARSANDRA MURAIDA,45,11,12,0045f9732076e7ffefc7014a8a9b2d44,34,11:45,219,2017
852,2017-11-19T16:30:00.000,19,0,3,SB_in,SB,16,1,LAMARMANCHACA,30,11,9,00460caf23299a7a9e2adc960bffd368,31,16:30,141,2017
853,2017-08-25T00:00:00.000,25,5,70,SB_Lturn,SB,0,11,BurnetRutland,0,8,0,00461fab091cbfcceb4ac261608ccfb0,36,00:00,5,2017
854,2017-11-17T15:30:00.000,17,5,62,NB_out,NB,15,8,LOOP 360WALSH TARLTON,30,11,5,0046417e6520387437a866bf045149d7,45,15:30,134,2017
855,2017-11-07T10:00:00.000,7,2,95,SB_in,SB,10,24,LOOP 360LAKEWOOD,0,11,1,00464670698d4bb3f1a322bf000b9531,29,10:00,20,2017
856,2017-11-28T10:00:00.000,28,2,74,Lane1,None,10,19,KINNEYLAMAR,0,11,1,00465da5c4d40b9b5d965bb2cf36f196,21,10:00,17,2017
857,2017-09-13T23:15:01.000,13,3,76,Lane3,None,23,19,KINNEYLAMAR,15,9,0,0046765cac0256908a6f1dfa8ee9ee45,149,23:15,5,2017
858,2017-10-19T22:30:01.000,19,4,48,NB_out,NB,22,16,N Lamar15th,30,10,5,0046821e994b398d9e63cbd3132cc6e3,31,22:30,102,2017
859,2017-07-23T12:00:00.000,23,0,13,NB_out,NB,12,3,LAMARSHOALCREEK,0,7,3,00468cc0084d1d94e4a1eba6cc493b46,27,12:00,69,2017
860,2017-09-09T09:15:00.000,9,6,51,SB_out,SB,9,16,N Lamar15th,15,9,3,0046b148ae2a0cbcc2a482b0d31fa75c,39,09:15,63,2017
861,2017-12-03T10:00:00.000,3,0,93,NB_in,NB,10,24,LOOP 360LAKEWOOD,0,12,4,0046b21c43c5d4a5a0b49288c7bdd4d5,49,10:00,91,2017
862,2017-08-21T19:00:00.000,21,1,50,SB_in,SB,19,16,N Lamar15th,0,8,6,0046b2d631cc42097de9d850a550e37b,35,19:00,112,2017
863,2017-10-25T01:15:00.000,25,3,77,Lane4,None,1,19,KINNEYLAMAR,15,10,0,0046e2ac8af43c83c344d52c04c0a5ec,149,01:15,0,2017
864,2017-09-22T15:45:00.000,22,5,81,EB_mid,EB,15,20,CESAR CHAVEZIH 35 WSR,45,9,31,0046fa72cef882e9d586ad24f5738f69,18,15:45,183,2017
865,2017-10-13T19:45:00.000,13,5,79,WB_in,WB,19,20,CESAR CHAVEZIH 35 WSR,45,10,1,004700d32cfaf7f1612c84fef15350f2,24,19:45,27,2017
866,2017-12-11T19:00:00.000,11,1,5,NB_mid,NB,19,4,CONGRESSBARTON SPRINGS,0,12,3,00470c89aeda638f40e883c6cebbbe06,35,19:00,63,2017
867,2017-11-15T11:15:00.000,15,3,97,SB_Rturn,SB,11,24,LOOP 360LAKEWOOD,15,11,0,0047179095e113f707eb6bf7f0de56bb,149,11:15,2,2017
868,2017-12-08T16:30:00.000,8,5,45,EB_in,EB,16,15,Cesar ChavezBR Reynolds,30,12,10,0047185a971fb466cf663ab74fd8bacd,39,16:30,222,2017
869,2017-10-28T08:30:01.000,28,6,71,SB_in,SB,8,11,BurnetRutland,30,10,2,00471e77d2782e58439f115a21806a6d,39,08:30,41,2017
870,2017-11-22T02:45:00.000,22,3,90,NB_out,NB,2,23,BURNETPALM WAY,45,11,0,0047354e08accec92f2d78cc84326fdf,42,02:45,5,2017
871,2017-11-10T01:45:00.000,10,5,69,NB_in,NB,1,11,BurnetRutland,45,11,0,00474d5ea139bb07724a3d604b61d5b8,47,01:45,7,2017
